Timestamp,CPU Usage(%),Memory Usage(%),IO(Disk) Read(MB),IO(Disk) Write(MB),Disk Usage(%),OS User Time(s),OS System Time(s),OS Idle Time(s)
2025-03-17 14:22:50,11.0,81.2,194772.80078125,398098.87890625,51.2,25475.24,13153.44,219087.87
2025-03-17 14:22:56,9.3,81.8,194779.43359375,398100.56640625,51.2,25476.73,13154.29,219133.47
2025-03-17 14:23:02,5.1,80.9,194808.359375,398235.12109375,51.2,25479.9,13157.26,219174.85
2025-03-17 14:23:08,44.5,84.4,194830.22265625,398238.53125,51.2,25484.23,13159.75,219215.71
2025-03-17 14:23:14,16.4,80.7,195120.66015625,398556.3515625,51.2,25490.18,13162.72,219254.12
2025-03-17 14:23:20,40.6,85.2,195706.75,398807.21484375,51.2,25498.89,13170.99,219283.05
2025-03-17 14:23:26,47.9,84.9,196290.4453125,399125.78125,51.7,25512.8,13180.38,219304.97
2025-03-17 14:23:32,36.9,85.0,196849.6953125,399717.60546875,52.5,25522.78,13188.56,219331.96
2025-03-17 14:23:38,33.9,84.4,197515.46875,399769.71875,52.5,25534.19,13195.7,219358.91
2025-03-17 14:23:44,51.3,84.1,198062.125,400124.4375,52.5,25547.88,13204.63,219382.22
2025-03-17 14:23:50,33.5,83.6,198345.68359375,400129.1953125,52.5,25553.83,13210.15,219417.51
2025-03-17 14:23:56,29.7,82.3,198495.62890625,400248.421875,52.5,25561.51,13214.53,219452.36
2025-03-17 14:24:02,27.4,83.8,198546.5625,400365.7265625,52.6,25568.57,13218.51,219488.49
2025-03-17 14:24:08,47.4,84.1,198620.2578125,400370.859375,52.5,25575.9,13222.19,219524.81
2025-03-17 14:24:14,19.7,82.5,198693.0,400487.76171875,52.5,25585.89,13227.51,219556.41
2025-03-17 14:24:20,33.6,84.4,198768.1796875,400496.62890625,52.5,25593.2,13231.63,219592.1
2025-03-17 14:24:26,19.3,83.5,199036.9140625,400617.078125,52.5,25599.46,13235.91,219628.51
2025-03-17 14:24:32,27.3,84.6,199066.63671875,400725.16015625,52.6,25605.32,13240.26,219665.49
2025-03-17 14:24:38,14.8,82.8,199127.26953125,400736.9375,52.5,25610.53,13243.02,219704.96
2025-03-17 14:24:44,28.1,81.3,199165.984375,400857.10546875,52.5,25618.85,13247.34,219739.43
2025-03-17 14:24:50,43.2,83.0,199511.11328125,400877.12890625,52.5,25626.25,13254.37,219771.32
2025-03-17 14:24:56,15.3,82.1,199761.83203125,401003.5078125,52.5,25633.28,13260.37,219805.05
2025-03-17 14:25:02,13.9,83.6,199811.984375,401023.26953125,52.5,25638.17,13263.42,219844.49
2025-03-17 14:25:08,17.8,82.8,199868.90234375,401139.54296875,52.5,25642.94,13266.81,219883.72
